                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	               HCO3-	             a_HCO3-	
  1.039906391077e-04	  1.817392436143e-04	  1.224893486488e-04	  4.004758588874e-04	  9.823118486177e+00	  1.552370640460e-10	 -4.962591240670e+00	  1.228339337634e-04	  2.464932638765e-05	  7.141126231495e-05	  6.905184666023e-05	
  1.064098502248e-04	  1.726968200460e-04	  1.073312340952e-04	  3.472363661821e-04	  9.834544523088e+00	  1.510270400036e-10	  8.349039439272e+00	  0.000000000000e+00	  2.574027388564e-05	  7.291166387978e-05	  7.059192188740e-05	
  1.063742263889e-04	  1.726611961885e-04	  1.073312340602e-04	  3.472363660688e-04	  9.834437746651e+00	  1.510639049679e-10	  8.354820879216e+00	  1.226458201149e-04	  2.572743192099e-05	  7.289362615776e-05	  7.057459322643e-05	
  1.086423613839e-04	  1.647132411934e-04	  9.330283875876e-05	  2.987474008073e-04	  9.844977358009e+00	  1.472762741840e-10	 -4.629690159711e+00	  0.000000000000e+00	  2.677126443593e-05	  7.429890692553e-05	  7.202135113873e-05	
  1.086127421190e-04	  1.646836219134e-04	  9.330283873357e-05	  2.987474007266e-04	  9.844890730636e+00	  1.473054219378e-10	 -4.491270156367e+00	  1.224888194103e-04	  2.676041384672e-05	  7.428398187946e-05	  7.200700419174e-05	
  1.107050312434e-04	  1.577580165561e-04	  8.045386521210e-05	  2.550136695786e-04	  9.854487253311e+00	  1.439341097930e-10	 -4.982421396653e+00	  0.000000000000e+00	  2.774215871180e-05	  7.558010967659e-05	  7.334562798239e-05	
  1.106811150970e-04	  1.577341003995e-04	  8.045386519464e-05	  2.550136695233e-04	  9.854418856364e+00	  1.439565872508e-10	 -4.971207378635e+00	  1.223615204494e-04	  2.773326873195e-05	  7.556811194991e-05	  7.333408902968e-05	
  1.125807954104e-04	  1.517487748143e-04	  6.880781246820e-05	  2.159515566669e-04	  9.863046478566e+00	  1.409866744105e-10	 -5.011835298915e+00	  0.000000000000e+00	  2.864109742844e-05	  7.674570937401e-05	  7.455434426213e-05	
  1.125620408080e-04	  1.517300202053e-04	  6.880781245654e-05	  2.159515566303e-04	  9.862993915794e+00	  1.410035840032e-10	 -5.011162853676e+00	  1.222612280041e-04	  2.863403450636e-05	  7.673633883297e-05	  7.454532813119e-05	
  1.142598361235e-04	  1.465990748431e-04	  5.836104005552e-05	  1.814005344087e-04	  9.870653465742e+00	  1.384138164331e-10	 -5.049024662013e+00	  0.000000000000e+00	  2.945947412777e-05	  7.779035359615e-05	  7.564130736619e-05	
  1.142455475111e-04	  1.465847862265e-04	  5.836104004801e-05	  1.814005343854e-04	  9.870614132634e+00	  1.384262315131e-10	 -5.053991574181e+00	  1.221844364972e-04	  2.945403059902e-05	  7.778324002183e-05	  7.563446039653e-05	
  1.157395999536e-04	  1.422213481627e-04	  4.908633625921e-05	  1.511361492868e-04	  9.877330535774e+00	  1.361904991545e-10	  8.434242980994e+00	  0.000000000000e+00	  3.019223749903e-05	  7.871286980535e-05	  7.660455868838e-05	
  1.157290170909e-04	  1.422107652975e-04	  4.908633625455e-05	  1.511361492724e-04	  9.877301859201e+00	  1.361993999775e-10	  8.433832434640e+00	  1.221272703211e-04	  3.018816483075e-05	  7.870761767135e-05	  7.659950194011e-05	
