                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  8.154445053624e-05	  1.440920533355e-04	  5.758230866759e-04	  1.276549214206e-03	  9.678786135837e+00	  2.197564768316e-10	 -4.718856093043e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.143848097790e-05	  1.440390684464e-04	  5.757701013284e-04	  1.276549212850e-03	  9.678354947038e+00	  2.199741647325e-10	 -4.720472654457e+00	  0.000000000000e+00	  6.545628032382e-05	
  8.056154140556e-05	  1.588628494377e-04	  5.219977585717e-04	  1.200398013466e-03	  9.680560559326e+00	  2.186085000085e-10	 -5.016490052478e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.043891591638e-05	  1.588015365469e-04	  5.219364452331e-04	  1.200398011986e-03	  9.680055196643e+00	  2.188623026415e-10	 -5.022762907325e+00	  0.000000000000e+00	  6.518696734485e-05	
  7.992452475347e-05	  1.754450866917e-04	  4.657683270452e-04	  1.122371492770e-03	  9.684055646620e+00	  2.165935166526e-10	 -4.896482491668e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.977778190714e-05	  1.753717150683e-04	  4.656949549927e-04	  1.122371491111e-03	  9.683446128103e+00	  2.168968102763e-10	 -4.897065934188e+00	  0.000000000000e+00	  6.468713105931e-05	
  7.976660240439e-05	  1.937597904696e-04	  4.077180495223e-04	  1.043211989294e-03	  9.689819112504e+00	  2.134683985563e-10	 -5.146734973230e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.958612261574e-05	  1.936695502958e-04	  4.076278089598e-04	  1.043211987399e-03	  9.689068776817e+00	  2.138363828226e-10	 -5.150041280947e+00	  0.000000000000e+00	  6.427847620573e-05	
  8.024908945009e-05	  2.137371058539e-04	  3.484648618198e-04	  9.636931540336e-04	  9.698474994945e+00	  2.089840752152e-10	 -5.133804849865e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.002961682668e-05	  2.136273691603e-04	  3.483551248298e-04	  9.636931519135e-04	  9.697570207919e+00	  2.094184821524e-10	 -5.132708507589e+00	  0.000000000000e+00	  6.359808013782e-05	
  8.178830305192e-05	  2.393828018524e-04	  2.848105265427e-04	  8.845974738085e-04	  9.711798789360e+00	  2.024041479988e-10	 -5.066605705217e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.128210620727e-05	  2.391297024323e-04	  2.845574268942e-04	  8.845974693617e-04	  9.709757696213e+00	  2.033542695258e-10	 -5.064633327065e+00	  0.000000000000e+00	  6.279054498986e-05	
