                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.137953642721e-04	  1.455971952073e-04	  4.376629253894e-05	  1.511358538931e-04	  9.872266231243e+00	  1.377706348283e-10	  8.441253580200e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.137808344482e-04	  1.455826653793e-04	  4.376629253320e-05	  1.511358538733e-04	  9.872226074567e+00	  1.377832454319e-10	  8.436635908895e+00	  1.221950899019e-04	  0.000000000000e+00	
  1.153144795809e-04	  1.413681069134e-04	  3.638833383957e-05	  1.248835812135e-04	  9.878728249377e+00	  1.356376716624e-10	  8.500983332792e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.153036103483e-04	  1.413572376782e-04	  3.638833383601e-05	  1.248835812013e-04	  9.878698692320e+00	  1.356468046451e-10	  8.500808238790e+00	  1.221364205142e-04	  0.000000000000e+00	
  1.166404395630e-04	  1.378087313716e-04	  2.999812250169e-05	  1.023325354180e-04	  9.884317535979e+00	  1.338176355289e-10	 -5.205536772929e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.166325145945e-04	  1.378008064016e-04	  2.999812249956e-05	  1.023325354107e-04	  9.884296286418e+00	  1.338241099480e-10	 -5.199901089564e+00	  1.220934578061e-04	  0.000000000000e+00	
  1.177813985523e-04	  1.348371670256e-04	  2.451886138714e-05	  8.314901014724e-05	  9.889094419675e+00	  1.322799831491e-10	  8.301843248810e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.177757617137e-04	  1.348315301861e-04	  2.451886138590e-05	  8.314901014305e-05	  9.889079486582e+00	  1.322844785390e-10	  8.306356779324e+00	  1.220627707471e-04	  0.000000000000e+00	
  1.187497268041e-04	  1.323764824360e-04	  1.986769782592e-05	  6.698869652793e-05	  9.893129405818e+00	  1.309936522981e-10	  8.289940363120e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.187458122766e-04	  1.323725679080e-04	  1.986769782523e-05	  6.698869652559e-05	  9.893119140822e+00	  1.309967110210e-10	  8.292828216497e+00	  1.220413734637e-04	  0.000000000000e+00	
  1.195606946069e-04	  1.303555930372e-04	  1.595894668888e-05	  5.350751458918e-05	  9.896498823232e+00	  1.299280668901e-10	  8.519980885849e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.195580383529e-04	  1.303529367829e-04	  1.595894668850e-05	  5.350751458791e-05	  9.896491917009e+00	  1.299301072413e-10	  8.521679157900e+00	  1.220267972889e-04	  0.000000000000e+00	
  1.202312312882e-04	  1.287097511323e-04	  1.270691969913e-05	  4.237073384402e-05	  9.899280993792e+00	  1.290539266825e-10	  8.362437944356e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.202294688543e-04	  1.287079886982e-04	  1.270691969893e-05	  4.237073384336e-05	  9.899276443703e+00	  1.290552614490e-10	  8.366850515422e+00	  1.220170893760e-04	  0.000000000000e+00	
  1.207788478760e-04	  1.273807412837e-04	  1.002829465273e-05	  3.326025716388e-05	  9.901553066574e+00	  1.283437919665e-10	  8.293840741479e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.207777037443e-04	  1.273795971519e-04	  1.002829465263e-05	  3.326025716354e-05	  9.901550129728e+00	  1.283446485010e-10	  8.298514928964e+00	  1.220107639892e-04	  0.000000000000e+00	
  1.212207707474e-04	  1.263168546747e-04	  7.843993939328e-06	  2.588005922290e-05	  9.903388569612e+00	  1.277724819264e-10	 -5.266040354489e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.212200436636e-04	  1.263161275909e-04	  7.843993939277e-06	  2.588005922273e-05	  9.903386711936e+00	  1.277730211776e-10	 -5.250533675921e+00	  1.220067296678e-04	  0.000000000000e+00	
