                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	               CO3-2	
  1.221288848926e-04	  1.221292787259e-04	  1.257483296508e-06	  2.515753261164e-06	  9.907921195296e+00	  1.264313838561e-10	  4.000000000000e+00	  3.362519290618e-05	
  1.221123351117e-04	  1.221125922190e-04	  9.016608238247e-07	  1.803834863446e-06	  9.907955440392e+00	  1.264175594860e-10	  4.000000000000e+00	  3.362276664951e-05	
  1.221001642769e-04	  1.221003306030e-04	  6.405060624936e-07	  1.281343777989e-06	  9.907980538866e+00	  1.264074207171e-10	  4.000000000000e+00	  3.362097573372e-05	
  1.220913053753e-04	  1.220914119920e-04	  4.507349079650e-07	  9.016820499793e-07	  9.907998752866e+00	  1.264000587827e-10	  4.000000000000e+00	  3.361966812083e-05	
  1.220849229832e-04	  1.220849906981e-04	  3.142072059173e-07	  6.285488421326e-07	  9.908011840701e+00	  1.263947662096e-10	  4.000000000000e+00	  3.361872360861e-05	
  1.220803716341e-04	  1.220804142442e-04	  2.169638587767e-07	  4.340119380931e-07	  9.908021152351e+00	  1.263909991094e-10	  4.000000000000e+00	  3.361804860254e-05	
  1.220771590427e-04	  1.220771856062e-04	  1.483933579218e-07	  2.968388430237e-07	  9.908027711854e+00	  1.263883444627e-10	  4.000000000000e+00	  3.361757127457e-05	
  1.220749144779e-04	  1.220749308830e-04	  1.005256784074e-07	  2.010831669495e-07	  9.908032286823e+00	  1.263864923950e-10	  4.000000000000e+00	  3.361723726105e-05	
  1.220733621977e-04	  1.220733722338e-04	  6.744579697625e-08	  1.349106660426e-07	  9.908035445926e+00	  1.263852131705e-10	  4.000000000000e+00	  3.361700596360e-05	
  1.220722996044e-04	  1.220723056859e-04	  4.481548833293e-08	  8.964213978387e-08	  9.908037605574e+00	  1.263843384599e-10	  4.000000000000e+00	  3.361684745510e-05	
  1.220715796272e-04	  1.220715832773e-04	  2.949015320938e-08	  5.898660669328e-08	  9.908039067180e+00	  1.263837463576e-10	  4.000000000000e+00	  3.361673995244e-05	
  1.220710967697e-04	  1.220710989394e-04	  1.921685205488e-08	  3.843704370702e-08	  9.908040046420e+00	  1.263833495964e-10	  4.000000000000e+00	  3.361666779570e-05	
  1.220707762459e-04	  1.220707775233e-04	  1.240009653324e-08	  2.480174782240e-08	  9.908040695867e+00	  1.263830864194e-10	  4.000000000000e+00	  3.361661986354e-05	
  1.220705656581e-04	  1.220705664028e-04	  7.922965987679e-09	  1.584642138006e-08	  9.908041122227e+00	  1.263829136222e-10	  4.000000000000e+00	  3.361658835202e-05	
  1.220704287189e-04	  1.220704291488e-04	  5.012501055878e-09	  1.002486194187e-08	  9.908041399286e+00	  1.263828013219e-10	  4.000000000000e+00	  3.361656784991e-05	
  1.220703405870e-04	  1.220703408328e-04	  3.139873790711e-09	  6.279239079990e-09	  9.908041577487e+00	  1.263827290841e-10	  4.000000000000e+00	  3.361655464881e-05	
  1.220702844517e-04	  1.220702845908e-04	  1.947391315633e-09	  3.894060803835e-09	  9.908041690931e+00	  1.263826830934e-10	  4.000000000000e+00	  3.361654623686e-05	
  1.220702490663e-04	  1.220702491441e-04	  1.195856270560e-09	  2.390868410659e-09	  9.908041762405e+00	  1.263826541148e-10	  4.000000000000e+00	  3.361654093229e-05	
  1.220702269922e-04	  1.220702270353e-04	  7.271211918000e-10	  1.453328847588e-09	  9.908041806974e+00	  1.263826360436e-10	  4.000000000000e+00	  3.361653762214e-05	
  1.220702133652e-04	  1.220702133889e-04	  4.378064143312e-10	  8.746603083823e-10	  9.908041834477e+00	  1.263826248912e-10	  4.000000000000e+00	  3.361653557810e-05	
  1.220702050406e-04	  1.220702050536e-04	  2.610959752602e-10	  5.212177583441e-10	  9.908041851273e+00	  1.263826180804e-10	  4.000000000000e+00	  3.361653432909e-05	
  1.220702000086e-04	  1.220702000157e-04	  1.542925371550e-10	  3.075989589954e-10	  9.908041861423e+00	  1.263826139644e-10	  4.000000000000e+00	  3.361653357391e-05	
  1.220701969989e-04	  1.220701970028e-04	  9.041881892369e-11	  1.798450310440e-10	  9.908041867492e+00	  1.263826115031e-10	  4.000000000000e+00	  3.361653312215e-05	
  1.220701952177e-04	  1.220701952198e-04	  5.262203687761e-11	  1.042479696810e-10	  9.908041871082e+00	  1.263826100470e-10	  4.000000000000e+00	  3.361653285470e-05	
  1.220701941748e-04	  1.220701941759e-04	  3.049303626952e-11	  5.998810436821e-11	  9.908041873183e+00	  1.263826091946e-10	  4.000000000000e+00	  3.361653269808e-05	
  1.220701935707e-04	  1.220701935712e-04	  1.767566024687e-11	  3.435236839611e-11	  9.908041874400e+00	  1.263826087011e-10	  4.000000000000e+00	  3.361653260731e-05	
  1.220701932247e-04	  1.220701932249e-04	  1.033505562084e-11	  1.967064714704e-11	  9.908041875097e+00	  1.263826084184e-10	  4.000000000000e+00	  3.361653255533e-05	
  1.220701930296e-04	  1.220701930297e-04	  6.195994593318e-12	  1.139226049821e-11	  9.908041875490e+00	  1.263826082589e-10	  4.000000000000e+00	  3.361653252603e-05	
  1.220701929252e-04	  1.220701929253e-04	  3.981221011693e-12	  6.962583402795e-12	  9.908041875701e+00	  1.263826081735e-10	  4.000000000000e+00	  3.361653251038e-05	
  1.220701928905e-04	  1.220701928906e-04	  3.245445246401e-12	  5.490990707610e-12	  9.908041875771e+00	  1.263826081451e-10	  4.000000000000e+00	  3.361653250517e-05	
